datetime	open	high	low	close	volume
06.03.2007 00:00	92.35	93.0	91.2	92.3	64273000
08.03.2007 00:00	93.1	93.49	90.6	91.3	46169000
09.03.2007 00:00	93.0	93.95	91.56	92.5	63387000
12.03.2007 00:00	92.74	92.98	91.2	91.73	38395000
13.03.2007 00:00	92.0	92.4	91.0	92.0	33149000
14.03.2007 00:00	89.08	90.8	88.3	90.0	66667000
15.03.2007 00:00	91.19	91.79	89.7	90.1	40810000
16.03.2007 00:00	90.16	91.0	89.7	89.98	20781000
19.03.2007 00:00	90.24	91.3	90.24	91.11	24904000
20.03.2007 00:00	91.48	91.78	90.13	90.2	23136000
21.03.2007 00:00	90.68	90.68	89.85	90.28	17360000
22.03.2007 00:00	91.0	94.33	90.7	93.95	56204000
23.03.2007 00:00	93.5	95.19	92.5	94.51	49547000
26.03.2007 00:00	95.0	95.6	94.0	94.18	40111000
27.03.2007 00:00	94.0	94.67	92.31	92.95	25029000
28.03.2007 00:00	92.53	93.54	92.51	92.6	22195000
29.03.2007 00:00	92.94	93.5	92.61	93.3	16943000
30.03.2007 00:00	93.72	93.86	92.0	92.5	17280000
02.04.2007 00:00	92.2	92.83	91.31	92.32	16887000
03.04.2007 00:00	92.96	93.4	92.0	92.55	19507000
04.04.2007 00:00	92.9	93.4	92.6	93.2	18990000
05.04.2007 00:00	93.48	95.25	93.2	94.87	68334000
06.04.2007 00:00	95.9	97.15	95.6	97.05	63670000
09.04.2007 00:00	97.9	100.45	97.6	100.0	96312000
10.04.2007 00:00	99.4	101.3	98.21	99.95	58442000
11.04.2007 00:00	100.25	101.1	99.1	100.36	36366000
12.04.2007 00:00	99.55	100.48	98.99	98.99	31771000
13.04.2007 00:00	99.65	102.99	99.4	102.6	82854000
16.04.2007 00:00	103.0	103.8	101.8	102.9	47299000
17.04.2007 00:00	102.9	103.8	101.11	102.7	47315000
18.04.2007 00:00	102.58	103.67	100.5	100.5	44181000
19.04.2007 00:00	99.41	101.39	98.25	100.0	61012000
20.04.2007 00:00	101.5	102.97	101.2	102.25	32546000
23.04.2007 00:00	103.5	103.5	102.03	102.28	22513000
24.04.2007 00:00	102.29	102.57	100.57	101.6	27276000
25.04.2007 00:00	101.2	103.0	100.7	102.63	43453000
26.04.2007 00:00	103.31	103.7	101.52	102.3	39030000
27.04.2007 00:00	102.0	102.39	99.5	99.79	36009000
01.05.2007 00:00	100.23	101.8	100.1	101.8	13162000
02.05.2007 00:00	104.44	104.44	101.7	102.8	29034000
03.05.2007 00:00	103.2	104.1	102.1	102.4	37580000
04.05.2007 00:00	103.0	103.39	102.2	102.85	16668000
07.05.2007 00:00	103.0	103.8	102.7	102.93	20234000
09.05.2007 00:00	103.34	103.5	102.51	103.08	24225000
10.05.2007 00:00	103.12	105.6	102.8	103.0	64890000
11.05.2007 00:00	103.5	103.5	98.53	99.89	46554000
